3.1239	71.5463	0.2083	4.7698	9.374
3.157	71.6683	0.2105	4.7779	9.474
3.1906	71.6044	0.2127	4.7736	9.574
3.225	71.5612	0.215	4.7707	9.674
3.2586	71.4631	0.2172	4.7642	9.774
3.292	71.3509	0.2195	4.7567	9.874
3.3241	71.4066	0.2216	4.7604	9.974
3.358	71.5454	0.2239	4.7697	10.074
3.3911	71.2581	0.2261	4.7505	10.174
3.4245	71.2038	0.2283	4.7469	10.274
3.4575	71.0869	0.2305	4.7391	10.374
3.4909	71.4245	0.2327	4.7616	10.474
3.5242	71.4251	0.2349	4.7617	10.574
3.5578	71.3907	0.2372	4.7594	10.674
3.5912	71.1841	0.2394	4.7456	10.774
3.6244	71.0126	0.2416	4.7342	10.874
3.6583	71.1514	0.2439	4.7434	10.974
3.6919	71.2264	0.2461	4.7484	11.074
3.7244	71.1119	0.2483	4.7408	11.174
3.7573	71.0222	0.2505	4.7348	11.274
3.7902	70.9068	0.2527	4.7271	11.374
3.8244	71.0979	0.255	4.7399	11.474
3.8591	71.269	0.2573	4.7513	11.574
3.8914	71.1584	0.2594	4.7439	11.674
3.9244	71.1834	0.2616	4.7456	11.774
3.9572	71.0555	0.2638	4.737	11.874
3.9919	71.2534	0.2661	4.7502	11.974
4.0255	71.1002	0.2684	4.74	12.074
4.0578	70.9929	0.2705	4.7329	12.174
4.0908	71.0899	0.2727	4.7393	12.274
4.1241	71.818	0.2749	4.7879	12.374
4.1572	71.3434	0.2771	4.7562	12.474
4.1912	71.1773	0.2794	4.7452	12.574
4.2252	71.1702	0.2817	4.7447	12.674
4.2586	71.2388	0.2839	4.7493	12.774
4.2914	71.4723	0.2861	4.7648	12.874
4.3244	71.3995	0.2883	4.76	12.974
4.3575	71.203	0.2905	4.7469	13.074
4.3912	71.1239	0.2927	4.7416	13.174
4.425	71.1766	0.295	4.7451	13.274
4.4583	71.4231	0.2972	4.7615	13.374
4.4909	71.384	0.2994	4.7589	13.474
4.5237	71.2732	0.3016	4.7515	13.574
4.5586	71.2019	0.3039	4.7468	13.674
4.5922	71.0285	0.3061	4.7352	13.774
4.6252	71.097	0.3083	4.7398	13.874
4.6578	71.0539	0.3105	4.7369	13.974
4.6903	70.9947	0.3127	4.733	14.074
4.7242	71.0066	0.3149	4.7338	14.174
4.7572	70.9421	0.3171	4.7295	14.274
4.7912	71.1113	0.3194	4.7408	14.374
4.8244	71.1903	0.3216	4.746	14.474
4.8575	71.3212	0.3238	4.7547	14.574
4.8919	71.4584	0.3261	4.7639	14.674
4.9244	71.1569	0.3283	4.7438	14.774
4.9577	71.1665	0.3305	4.7444	14.874
4.9908	71.1423	0.3327	4.7428	14.974
5.025	71.4054	0.335	4.7604	15.074
5.0583	71.3108	0.3372	4.7541	15.174
5.0908	71.2077	0.3394	4.7472	15.274
5.1245	71.2829	0.3416	4.7522	15.374
5.1569	71.0839	0.3438	4.7389	15.474
5.192	71.4779	0.3461	4.7652	15.574
5.2259	71.3829	0.3484	4.7589	15.674
5.258	71.2574	0.3505	4.7505	15.774
5.2902	71.2199	0.3527	4.748	15.874
5.323	71.1076	0.3549	4.7405	15.974
5.3578	71.3801	0.3572	4.7587	16.074
5.392	71.1641	0.3595	4.7443	16.174
5.4255	71.5842	0.3617	4.7723	16.274
5.458	71.4467	0.3639	4.7631	16.374
5.4902	71.1475	0.366	4.7432	16.474
5.5248	71.2751	0.3683	4.7517	16.574
5.5594	71.3608	0.3706	4.7574	16.674
5.5922	71.2596	0.3728	4.7506	16.774
5.6239	71.1243	0.3749	4.7416	16.874
5.6566	71.4214	0.3771	4.7614	16.974
5.6909	71.5843	0.3794	4.7723	17.074
5.7247	71.5066	0.3816	4.7671	17.174
5.7587	71.5368	0.3839	4.7691	17.274
5.7914	71.3111	0.3861	4.7541	17.374
5.8244	71.5628	0.3883	4.7709	17.474
5.858	71.544	0.3905	4.7696	17.574
5.8912	71.4543	0.3927	4.7636	17.674
5.9253	71.3013	0.395	4.7534	17.774
5.957	71.0527	0.3971	4.7368	17.874
5.9908	71.4753	0.3994	4.765	17.974
6.0241	71.5368	0.4016	4.7691	18.074
6.0578	71.5608	0.4039	4.7707	18.174
6.0927	71.6022	0.4062	4.7735	18.274
6.1248	71.5764	0.4083	4.7718	18.374
6.1583	71.4803	0.4106	4.7654	18.474
6.1919	71.5751	0.4128	4.7717	18.574
6.2247	71.503	0.415	4.7669	18.674
6.2577	71.413	0.4172	4.7609	18.774
6.2902	71.2422	0.4193	4.7495	18.874
6.3245	71.4174	0.4216	4.7612	18.974
6.3583	71.3975	0.4239	4.7598	19.074
6.3916	71.3733	0.4261	4.7582	19.174
6.4244	71.2641	0.4283	4.7509	19.274
6.4575	71.184	0.4305	4.7456	19.374
6.4908	71.1196	0.4327	4.7413	19.474
6.5252	71.0396	0.435	4.736	19.574
6.5586	70.9599	0.4372	4.7307	19.674
6.5911	70.6386	0.4394	4.7092	19.774
6.6234	70.6755	0.4416	4.7117	19.874
6.657	70.7223	0.4438	4.7148	19.974
6.6909	70.6524	0.4461	4.7102	20.074
6.7253	70.7751	0.4484	4.7183	20.174
6.7584	70.6551	0.4506	4.7103	20.274
6.7908	70.8129	0.4527	4.7209	20.374
6.8245	70.9844	0.455	4.7323	20.474
6.8572	70.8615	0.4571	4.7241	20.574
6.8928	71.0283	0.4595	4.7352	20.674
6.9252	71.1539	0.4617	4.7436	20.774
6.9583	71.0785	0.4639	4.7386	20.874
6.9909	70.9464	0.4661	4.7298	20.974
7.0242	70.9303	0.4683	4.7287	21.074
7.0581	70.9733	0.4705	4.7316	21.174
7.0917	70.9336	0.4728	4.7289	21.274
7.125	71.0603	0.475	4.7374	21.374
7.1578	70.9701	0.4772	4.7313	21.474
7.1903	71.047	0.4794	4.7365	21.574
7.2244	71.0637	0.4816	4.7376	21.674
7.2573	70.9402	0.4838	4.7293	21.774
7.2914	71.0516	0.4861	4.7368	21.874
7.3255	70.992	0.4884	4.7328	21.974
7.3577	70.9427	0.4905	4.7295	22.074
7.3917	70.9223	0.4928	4.7282	22.174
7.4242	70.6582	0.4949	4.7105	22.274
7.4581	70.6155	0.4972	4.7077	22.374
7.4902	70.2879	0.4993	4.6859	22.474
7.5241	70.4107	0.5016	4.694	22.574
7.5545	69.1438	0.5036	4.6096	22.664
7.5875	68.0364	0.5058	4.5358	22.764
7.6212	67.8097	0.5081	4.5206	22.864
7.6541	67.3998	0.5103	4.4933	22.964
7.6887	67.5064	0.5126	4.5004	23.064
7.7225	67.4444	0.5148	4.4963	23.164
7.755	67.4506	0.517	4.4967	23.264
7.7878	67.4358	0.5192	4.4957	23.364
7.8195	67.2135	0.5213	4.4809	23.464
7.8548	67.4115	0.5237	4.4941	23.564
7.8883	67.2787	0.5259	4.4852	23.664
